family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
empirical_copula,0.0,15,paired_t,0.052675,0.0011169192492633,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,20,paired_t,0.050825,0.001098201021842,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,25,paired_t,0.0523,0.0011131566601336,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,30,paired_t,0.050625,0.0010961536089321,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,40,paired_t,0.0508,0.0010979453538314,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,50,paired_t,0.04985,0.0010881748193649,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,75,paired_t,0.049925,0.0010889501179461,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,100,paired_t,0.05195,0.001109630540991,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,150,paired_t,0.0516,0.0011060904122177,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,200,paired_t,0.05195,0.001109630540991,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.0,400,paired_t,0.049975,0.0010894666054427,40000,-0.4282912916521935,0.4282912916521935,0.0024494897427831
empirical_copula,0.6,10,paired_t,0.05945,0.0011823250134797,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,15,paired_t,0.05785,0.0011672979214836,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,20,paired_t,0.056525,0.001154663634733,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,25,paired_t,0.0553,0.0011428244615862,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,30,paired_t,0.052325,0.0011134079932239,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,40,paired_t,0.05225,0.0011126537815061,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,50,paired_t,0.053075,0.0011209152998219,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,75,paired_t,0.05445,0.0011345174910507,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,100,paired_t,0.052275,0.0011129052562437,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,150,paired_t,0.050925,0.0010992229570815,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,200,paired_t,0.0503,0.0010928164301473,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical_copula,0.6,400,paired_t,0.0499,0.0010886917607844,40000,-0.7512544111964936,0.7512544111964936,0.0024494897427831
empirical,,10,paired_t,0.088925,0.0014231772937252,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,15,paired_t,0.079075,0.0013492789220079,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,20,paired_t,0.071425,0.0012876671675456,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,25,paired_t,0.0694,0.0012706655736266,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,30,paired_t,0.068675,0.0012645033054029,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,40,paired_t,0.065025,0.0012328498425903,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,50,paired_t,0.059625,0.0011839537509442,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,75,paired_t,0.05635,0.001152981759396,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,100,paired_t,0.056275,0.0011522600007702,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,150,paired_t,0.05355,0.0011256375693357,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,200,paired_t,0.050975,0.0010997334833381,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
empirical,,400,paired_t,0.050275,0.0010925592017712,40000,-1.5484123623102657,1.5484123623102657,0.0024494897427831
normal,0.0,10,studentized_bootstrap,0.0508,0.0043917814153256,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,15,studentized_bootstrap,0.0536,0.0045045328281632,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,20,studentized_bootstrap,0.06,0.0047497368348151,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,25,studentized_bootstrap,0.054,0.0045203539684409,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,30,studentized_bootstrap,0.058,0.0046748689821213,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,40,studentized_bootstrap,0.0544,0.0045361058188715,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,50,studentized_bootstrap,0.052,0.0044405405076409,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
