reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse,module_cell,theta_mult,B,sigma_ratio,cell_id,module,projected_R,bootstrap_B
0.0188,0.0188,0.9064,0.0012505770526142028,0.0012505770526142028,0.14736872059878875,65.4142,9.098144775722137,51.0,65.0,82.0,0.0,0.0,0.00014692893028259277,normal,0.3,1.0,1.0,0.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100050,5000,0.0019207581836347854,0.004119199922315012,0.0,A,0.0,50,1.0,A_0050,A,5000,50
0.0542,0.0542,0.9458,0.0014530422477532841,0.0014530422477532841,0.16311983876003644,55.6526,10.649991231921273,39.0,55.0,74.0,0.0,0.0,0.00017730917930603026,normal,0.3,1.0,1.0,0.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100051,5000,0.0032019481569819336,0.003201948156981934,0.0,A,0.0,50,1.0,A_0051,A,5000,50
0.053,0.053,0.947,0.00047577037692142304,0.00047577037692142304,0.05071689924167659,561.8714,113.4762832579566,390.0,555.0,753.0500000000002,0.0,0.0014,0.0001381209373474121,normal,0.3,1.0,1.0,0.0,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100052,5000,0.003168311853337673,0.0031683118533376744,0.0,A,0.0,50,1.0,A_0052,A,5000,50
0.0498,0.0498,0.9502,-0.0011290408068708978,-0.0011290408068708978,0.17466206087643868,46.0,0.0,46.0,46.0,46.0,0.0,0.0,9.803295135498047e-05,normal,0.3,1.0,1.0,0.0,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100053,5000,0.0030763601869742106,0.0030763601869742093,0.0,A,0.0,50,1.0,A_0053,A,5000,50
0.2832,0.2832,0.952,0.24690307309511605,-0.0030969269048839454,0.17676356245222638,46.3552,8.895540060052566,33.0,46.0,62.0,0.0,0.0,0.0001463934898376465,normal,0.3,1.0,1.0,0.25,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100054,5000,0.0063717777739026645,0.0030231109804305907,0.0,A,0.5,50,1.0,A_0054,A,5000,50
0.3576,0.3576,0.9504,0.2530311074158073,0.0030311074158073104,0.15370033939175085,58.101,8.799340827584757,50.0,56.0,75.0,0.0,0.0,0.0003371438980102539,normal,0.3,1.0,1.0,0.25,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100055,5000,0.0067782333981650416,0.0030704996336101387,0.0,A,0.5,50,1.0,A_0055,A,5000,50
0.259,0.259,0.9068,0.24918246973608713,-0.0008175302639128745,0.1463293129933664,65.4202,9.199806082738919,51.0,65.0,82.0,0.0,0.0,0.00014399480819702148,normal,0.3,1.0,1.0,0.25,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100056,5000,0.006195466084161869,0.004111295659521459,0.0,A,0.5,50,1.0,A_0056,A,5000,50
0.3364,0.3364,0.9464,0.2482486882707175,-0.001751311729282501,0.16520426244198694,55.1996,10.662221149460368,39.0,54.0,74.0,0.0,0.0,0.0001503819465637207,normal,0.3,1.0,1.0,0.25,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100057,5000,0.006681841662296406,0.0031851857088716186,0.0,A,0.5,50,1.0,A_0057,A,5000,50
0.9962,0.9962,0.9496,0.24957715515503337,-0.00042284484496663,0.051422731758405525,560.3542,112.14978886453598,387.0,554.0,758.0,0.0,0.0002,7.67848014831543e-05,normal,0.3,1.0,1.0,0.25,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100058,5000,0.0008701218305501851,0.0030938597253269257,0.0,A,0.5,50,1.0,A_0058,A,5000,50
0.2854,0.2854,0.9486,0.2483305697016769,-0.001669430298323088,0.17644642347457737,46.0,0.0,46.0,46.0,46.0,0.0,0.0,6.083827018737793e-05,normal,0.3,1.0,1.0,0.25,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100059,5000,0.006386655462759832,0.0031227564746550444,0.0,A,0.5,50,1.0,A_0059,A,5000,50
